Date,Open,High,Low,Close/Last,Volume
12/6/2024,220.75,227.15,220.60,227.03,44178070.00
12/5/2024,218.03,222.15,217.30,220.55,41140220.00
12/4/2024,215.96,220.00,215.75,218.16,48745720.00
12/3/2024,210.31,214.02,209.65,213.44,32214830.00
12/2/2024,209.96,212.99,209.51,210.71,39523190.00
11/29/2024,205.83,208.20,204.59,207.89,24892450.00
11/27/2024,206.98,207.64,205.05,205.74,28061640.00
11/26/2024,201.90,208.00,201.79,207.86,41673740.00
11/25/2024,199.28,201.95,199.00,201.45,40685670.00
11/22/2024,198.25,199.26,196.75,197.12,31530840.00
11/21/2024,203.49,203.49,195.75,198.38,58800040.00
11/20/2024,202.98,203.13,199.45,202.88,32768990.00
11/19/2024,199.33,205.30,198.78,204.61,31197870.00
11/18/2024,204.15,204.67,200.95,201.70,36512470.00
11/15/2024,206.76,207.34,199.61,202.61,86591140.00
11/14/2024,214.16,215.90,210.88,211.48,42620310.00
11/13/2024,209.40,215.09,209.14,214.10,46212940.00
11/12/2024,208.37,209.54,206.01,208.91,38942920.00
11/11/2024,208.50,209.65,205.59,206.84,35456010.00
11/8/2024,209.72,209.96,207.44,208.18,36075850.00
11/7/2024,207.44,212.25,207.19,210.05,52878380.00
11/6/2024,200.01,207.55,199.14,207.09,72292170.00
11/5/2024,196.04,199.82,195.99,199.50,30564780.00
11/4/2024,196.45,197.33,194.31,195.78,38492060.00
11/1/2024,199.00,200.50,197.02,197.93,99687850.00
10/31/2024,190.51,190.60,185.23,186.40,75146760.00
10/30/2024,194.70,195.61,192.42,192.73,37707550.00
10/29/2024,188.58,191.46,187.82,190.83,35690160.00
10/28/2024,189.57,190.21,188.21,188.39,27930840.00
10/25/2024,187.85,190.45,187.53,187.83,29362060.00
10/24/2024,185.25,187.11,183.86,186.38,21647400.00
10/23/2024,188.85,189.16,183.69,184.71,31937090.00
10/22/2024,188.35,191.52,186.98,189.70,29650590.00
10/21/2024,188.05,189.46,186.40,189.07,24639390.00
10/18/2024,187.15,190.74,186.28,188.99,37417670.00
10/17/2024,188.22,188.94,186.00,187.53,25039410.00
10/16/2024,187.05,187.78,185.61,186.89,23456810.00
10/15/2024,187.63,188.41,184.58,187.69,32178930.00
10/14/2024,189.78,189.83,187.36,187.54,22614410.00
10/11/2024,186.63,189.93,186.30,188.82,25751560.00
10/10/2024,187.13,188.13,185.83,186.65,27785040.00
10/9/2024,182.82,185.85,182.05,185.17,26343120.00
10/8/2024,181.92,183.09,180.92,182.72,26372090.00
10/7/2024,182.95,183.60,180.25,180.80,42364200.00
10/4/2024,185.75,187.60,183.60,186.51,41079010.00
10/3/2024,183.05,183.44,180.88,181.96,30204300.00
10/2/2024,184.44,186.60,184.04,184.76,23704060.00
10/1/2024,184.90,186.19,183.45,185.13,36044910.00
